date,hour,project,access_mode,total_views,top_1_views,top_10_views,top_100_views,top_1_share,top_10_share,top_100_share
2026-01-02,8,en,mobile,5086697,76088.0,164501.0,353508.0,0.014958233211060143,0.032339453283732056,0.06949657115413008
2026-01-02,8,vi,desktop,24418,536.0,1075.0,2190.0,0.021951019739536407,0.04402489966418216,0.08968793512982226
2026-01-02,8,vi,mobile,46813,777.0,2505.0,5465.0,0.016597953559908573,0.053510776920940764,0.11674107619678295
2026-01-02,8,wikidata,desktop,33517,1403.0,2886.0,4439.0,0.041859354954202344,0.08610555837336277,0.1324402541993615
2026-01-02,9,commons,desktop,190622,3084.0,8102.0,11431.0,0.016178615270010806,0.04250296398107249,0.059966845379861716
2026-01-02,9,commons,mobile,49094,1318.0,2801.0,6883.0,0.026846457815619017,0.05705381513015847,0.14020043182466288
2026-01-02,9,en,desktop,2491119,176541.0,220670.0,271265.0,0.07086815202324738,0.08858268111639789,0.10889283089246238
2026-01-02,9,en,mobile,4900322,78237.0,165380.0,354525.0,0.01596568552025765,0.03374880262970474,0.07234728656606647
2026-01-02,9,vi,desktop,26888,578.0,1243.0,2464.0,0.021496578399285926,0.04622880095209759,0.09163939303778637
2026-01-02,9,vi,mobile,45307,581.0,2120.0,4915.0,0.012823625488335136,0.04679188646346039,0.10848213300373011
2026-01-02,9,wikidata,desktop,34734,920.0,1830.0,3285.0,0.02648701560430702,0.052686128865088964,0.09457591984798756
2026-01-02,10,commons,desktop,194991,2936.0,8327.0,12134.0,0.015057105199727167,0.042704535081106304,0.06222851311086153
2026-01-02,10,commons,mobile,54145,1305.0,3119.0,7736.0,0.02410194847169637,0.05760458029365592,0.14287561178317482
2026-01-02,10,en,desktop,2665825,190516.0,239503.0,296928.0,0.07146605647407463,0.0898419813753716,0.11138315530839421
2026-01-02,10,en,mobile,4863113,79985.0,171665.0,367087.0,0.016447283869406283,0.03529940595663724,0.07548395441356184
2026-01-02,10,vi,desktop,25261,551.0,997.0,2138.0,0.02181227979889949,0.039467954554451526,0.08463639602549385
2026-01-02,10,vi,mobile,42941,553.0,1935.0,4436.0,0.012878135115623763,0.04506182902121515,0.10330453412822245
2026-01-02,10,wikidata,desktop,36788,760.0,1782.0,3255.0,0.02065891051429814,0.04843970860063064,0.08847993911057954
2026-01-02,11,commons,desktop,195668,3474.0,9507.0,14218.0,0.01775456385305722,0.04858740315227835,0.07266390007563833
2026-01-02,11,commons,mobile,56297,1360.0,3456.0,7824.0,0.02415759276693252,0.06138870632538146,0.13897721015329415
2026-01-02,11,en,desktop,2563734,189877.0,231513.0,287361.0,0.07406267576901504,0.09030305016043005,0.1120869013712031
2026-01-02,11,en,mobile,4838320,79273.0,157648.0,339895.0,0.016384406157509218,0.03258321070123514,0.07025062418360092
2026-01-02,11,vi,desktop,20528,481.0,873.0,1832.0,0.02343141075604053,0.042527279812938426,0.08924395946999221
2026-01-02,11,vi,mobile,43314,574.0,1970.0,4439.0,0.01325206630650598,0.0454818303550815,0.1024841852518816
2026-01-02,11,wikidata,desktop,32670,1081.0,2081.0,3247.0,0.033088460361187635,0.06369758187940006,0.09938781756963574
2026-01-02,12,commons,desktop,195500,3882.0,9535.0,14030.0,0.019856777493606138,0.04877237851662404,0.07176470588235294
2026-01-02,12,commons,mobile,53882,1433.0,3478.0,8572.0,0.02659515236999369,0.06454845774098956,0.15908837830815487
2026-01-02,12,en,desktop,2638570,191967.0,234068.0,289769.0,0.0727541812421122,0.08871017255558883,0.10982047093690901
2026-01-02,12,en,mobile,4994545,81292.0,162701.0,346380.0,0.016276157287600772,0.03257574013248454,0.06935166266396639
2026-01-02,12,vi,desktop,19838,415.0,950.0,1939.0,0.020919447524952114,0.04788789192458917,0.09774170783345096
2026-01-02,12,vi,mobile,47783,849.0,2507.0,5345.0,0.01776782537722621,0.052466358328275745,0.11185986647971036
2026-01-02,12,wikidata,desktop,32495,1558.0,2321.0,3158.0,0.04794583782120326,0.07142637328819819,0.09718418218187413
2026-01-02,13,commons,desktop,206947,4074.0,10008.0,15287.0,0.01968619984827033,0.0483602081692414,0.07386915490439581
2026-01-02,13,commons,mobile,57238,1553.0,3854.0,9463.0,0.027132324679408786,0.06733289073692303,0.16532723016178064
2026-01-02,13,en,desktop,2799516,213724.0,254600.0,315837.0,0.07634319646681784,0.09094429179901097,0.11281843004290741
2026-01-02,13,en,mobile,5440401,90276.0,179570.0,385222.0,0.016593629771040775,0.03300675814154141,0.07080764818622745
2026-01-02,13,vi,desktop,23682,540.0,1874.0,3335.0,0.022802128198631873,0.07913183008191876,0.14082425470821722
2026-01-02,13,vi,mobile,57183,969.0,2993.0,6675.0,0.016945595719007396,0.0523407306367277,0.11673049682597975
2026-01-02,13,wikidata,desktop,34170,1070.0,1983.0,2787.0,0.031314018144571264,0.05803336259877085,0.08156277436347674
2026-01-02,14,commons,desktop,208061,4293.0,11075.0,16015.0,0.02063337194380494,0.05322958170921028,0.07697261860704313
2026-01-02,14,commons,mobile,60235,1636.0,3948.0,9731.0,0.02716028886859799,0.06554328878558978,0.16155059350875736
2026-01-02,14,en,desktop,3067246,225735.0,270912.0,337932.0,0.07359533601152304,0.08832418397480997,0.11017440400932954
2026-01-02,14,en,mobile,6049571,103498.0,201124.0,423891.0,0.017108320573475375,0.033245993806833574,0.07006959667057383
2026-01-02,14,vi,desktop,28421,552.0,1264.0,2595.0,0.019422258189367016,0.04447415643362303,0.09130572464023082
2026-01-02,14,vi,mobile,63431,1096.0,3794.0,7655.0,0.017278617710583154,0.05981302517696394,0.12068231621762229
2026-01-02,14,wikidata,desktop,32384,700.0,1636.0,2545.0,0.021615612648221344,0.05051877470355731,0.07858819169960474
2026-01-02,15,commons,desktop,213380,4198.0,11067.0,15892.0,0.019673821351579343,0.051865216983784795,0.07447745805605024
2026-01-02,15,commons,mobile,69844,1828.0,4499.0,10434.0,0.026172613252391043,0.06441498195979611,0.1493900692972911
2026-01-02,15,en,desktop,3412961,232865.0,285683.0,362618.0,0.0682296105932649,0.08370532215281687,0.10624733186227443
2026-01-02,15,en,mobile,6629458,116288.0,222028.0,477594.0,0.017541102153449045,0.033491124010439466,0.07204118345722983
2026-01-02,15,vi,desktop,29014,556.0,1188.0,2503.0,0.019163162611153237,0.040945750327428136,0.08626869786999379
2026-01-02,15,vi,mobile,64878,1104.0,3988.0,7667.0,0.017016554147785072,0.06146921914978883,0.11817565276364869
2026-01-02,15,wikidata,desktop,32533,972.0,1979.0,3022.0,0.029877355300771524,0.06083054129652968,0.09289029600713122
2026-01-02,16,commons,desktop,168375,4083.0,11498.0,16582.0,0.02424944320712695,0.06828804751299183,0.09848255382331106
2026-01-02,16,commons,mobile,68197,1826.0,4638.0,10636.0,0.02677537135064592,0.06800885669457601,0.15595993958678533
2026-01-02,16,en,desktop,3579215,232898.0,288624.0,368107.0,0.06506957531190498,0.08063891104613721,0.10284573572696806
2026-01-02,16,en,mobile,7068632,126617.0,244263.0,523386.0,0.01791251829208254,0.03455590841339597,0.07404346413846413
2026-01-02,16,vi,desktop,24950,443.0,825.0,1936.0,0.017755511022044087,0.033066132264529056,0.07759519038076153
2026-01-02,16,vi,mobile,61532,1305.0,3717.0,7416.0,0.021208476890073456,0.06040759279724371,0.12052265487876226
2026-01-02,16,wikidata,desktop,31690,1438.0,2480.0,3497.0,0.045377090564846956,0.0782581255916693,0.11035026822341433
2026-01-02,17,commons,desktop,172284,4050.0,11368.0,16109.0,0.02350769659399596,0.06598407281001138,0.09350258874881011
2026-01-02,17,commons,mobile,72721,1830.0,4711.0,11036.0,0.025164670452826558,0.06478183743347864,0.1517580891351879
2026-01-02,17,en,desktop,3706108,217741.0,270340.0,350905.0,0.05875193059673382,0.07294444738253715,0.09468288565794629
2026-01-02,17,en,mobile,7427846,133352.0,247465.0,531891.0,0.01795298394716315,0.03331584957469501,0.07160770430620128
2026-01-02,17,vi,desktop,19072,319.0,577.0,1375.0,0.016726090604026845,0.030253775167785234,0.07209521812080537
2026-01-02,17,vi,mobile,50134,1112.0,2871.0,5742.0,0.0221805561096262,0.057266525711094265,0.11453305142218853
2026-01-02,17,wikidata,desktop,34861,981.0,2090.0,3113.0,0.028140328734115486,0.05995238231835002,0.08929749576891081
2026-01-02,18,commons,desktop,155803,3494.0,10288.0,14770.0,0.02242575560162513,0.06603210464496832,0.09479920155581087
2026-01-02,18,commons,mobile,67464,1903.0,5130.0,10937.0,0.02820763666548085,0.07604055496264675,0.16211609154512036
2026-01-02,18,en,desktop,3674434,193258.0,250737.0,332217.0,0.052595311277873,0.06823826472321996,0.09041310852229215
2026-01-02,18,en,mobile,7750903,134133.0,256508.0,576412.0,0.01730546750488298,0.03309395047260945,0.07436707697154771
2026-01-02,18,vi,desktop,13755,256.0,467.0,1041.0,0.018611414031261358,0.033951290439840055,0.07568157033805889
2026-01-02,18,vi,mobile,35523,438.0,1477.0,3498.0,0.01233003969259353,0.041578695493060834,0.09847141288742504
2026-01-02,18,wikidata,desktop,32066,837.0,1756.0,2667.0,0.026102413771596084,0.05476205326514065,0.08317220732239755
2026-01-02,19,commons,desktop,148024,3119.0,9683.0,14049.0,0.02107090742041831,0.0654150678268389,0.09491028481867805
2026-01-02,19,commons,mobile,66001,1858.0,5247.0,11287.0,0.028151088619869397,0.07949879547279587,0.17101256041575127
2026-01-02,19,en,desktop,3674941,176645.0,236136.0,316992.0,0.048067438361595466,0.06425572546606871,0.08625771134829104
2026-01-02,19,en,mobile,7762925,127258.0,241786.0,545033.0,0.016393047723635097,0.03114624964172654,0.07020974697037521
2026-01-02,19,vi,desktop,11192,229.0,419.0,878.0,0.020461043602573267,0.03743745532523231,0.07844889206576126
2026-01-02,19,vi,mobile,24468,297.0,990.0,2394.0,0.012138303089749877,0.04046101029916626,0.09784207945071113
2026-01-02,19,wikidata,desktop,29916,1353.0,2254.0,3093.0,0.045226634576815083,0.07534429736595802,0.1033894905736061
2026-01-02,20,commons,desktop,135312,2835.0,8534.0,12520.0,0.020951578573962397,0.06306905522052737,0.09252690079224311
2026-01-02,20,commons,mobile,66882,1816.0,4907.0,10679.0,0.02715229807721061,0.07336802129122932,0.15966926826350886
2026-01-02,20,en,desktop,3838687,163816.0,215995.0,297136.0,0.042675008407822776,0.05626793744840358,0.07740563374924811
2026-01-02,20,en,mobile,7961221,121883.0,239796.0,574742.0,0.015309586305919658,0.030120505384789595,0.07219269506524188
2026-01-02,20,vi,desktop,13915,213.0,384.0,840.0,0.015307222421846928,0.027596119295724038,0.06036651095939633
2026-01-02,20,vi,mobile,18300,253.0,807.0,1962.0,0.013825136612021859,0.0440983606557377,0.10721311475409837
2026-01-02,20,wikidata,desktop,29674,1530.0,2440.0,3330.0,0.05156028846801914,0.08222686526925928,0.11221945137157108
2026-01-02,21,commons,desktop,137454,2987.0,8531.0,12834.0,0.02173090633957542,0.06206439972645394,0.09336941813261164
2026-01-02,21,commons,mobile,65000,1893.0,4822.0,10872.0,0.02912307692307692,0.07418461538461539,0.16726153846153846
2026-01-02,21,en,desktop,3926899,153101.0,210387.0,291780.0,0.03898776108068988,0.053575862277079195,0.07430290414904993
2026-01-02,21,en,mobile,8112639,119715.0,257297.0,586589.0,0.014756603862195766,0.03171557368693467,0.07230557159020634
2026-01-02,21,vi,desktop,10890,191.0,305.0,700.0,0.01753902662993572,0.02800734618916437,0.0642791551882461
2026-01-02,21,vi,mobile,13966,262.0,598.0,1535.0,0.01875984533867965,0.042818272948589434,0.10990978089646283
2026-01-02,21,wikidata,desktop,27751,968.0,1740.0,2542.0,0.03488162588735541,0.06270044322727109,0.0916003026917949
2026-01-02,22,commons,desktop,131744,2892.0,7793.0,11599.0,0.021951663832888026,0.05915259897983969,0.08804196016516881
2026-01-02,22,commons,mobile,67020,1956.0,4519.0,10835.0,0.02918531781557744,0.0674276335422262,0.16166815875857954
2026-01-02,22,en,desktop,3862147,137842.0,191227.0,275981.0,0.03569051100333571,0.04951313349802584,0.07145792223858906
2026-01-02,22,en,mobile,8389204,120333.0,277054.0,636325.0,0.014343792331191374,0.03302506411812134,0.07585046209390069
2026-01-02,22,vi,desktop,7162,162.0,287.0,695.0,0.022619380061435355,0.04007260541748115,0.09703993297961463
2026-01-02,22,vi,mobile,11984,365.0,687.0,1510.0,0.030457276368491323,0.057326435246995995,0.12600133511348466
2026-01-02,22,wikidata,desktop,30578,777.0,1572.0,2347.0,0.025410425796324156,0.051409510105304465,0.07675452940022238
2026-01-02,23,commons,desktop,128647,2546.0,7665.0,11173.0,0.019790589753356083,0.05958164589924367,0.08685006257433131
2026-01-02,23,commons,mobile,67015,1687.0,3696.0,9802.0,0.025173468626426918,0.055151831679474746,0.14626576139670222
2026-01-02,23,en,desktop,3516937,130180.0,181847.0,259265.0,0.0370151640475789,0.05170607264218836,0.07371897762172026
2026-01-02,23,en,mobile,8270621,114405.0,293313.0,636496.0,0.013832697689810717,0.035464446986508025,0.07695867093897786
2026-01-02,23,vi,desktop,7348,207.0,304.0,636.0,0.028170930865541646,0.04137180185084377,0.08655416439847577
2026-01-02,23,vi,mobile,14072,635.0,1037.0,2022.0,0.04512507106310404,0.07369243888573053,0.14368959636156908
2026-01-02,23,wikidata,desktop,29551,1248.0,2074.0,2886.0,0.04223207336469155,0.07018375012689926,0.09766166965584921
2026-01-03,0,commons,desktop,109686,2324.0,6981.0,10050.0,0.021187754134529474,0.06364531480772387,0.0916251846179093
2026-01-03,0,commons,mobile,65546,1550.0,3864.0,9199.0,0.023647514722484973,0.05895096573398834,0.1403441857626705
2026-01-03,0,en,desktop,3114633,121138.0,181237.0,250093.0,0.038893185810334636,0.05818887811180322,0.08029613761878206
2026-01-03,0,en,mobile,7935917,109825.0,203770.0,497243.0,0.013838980422804322,0.02567693185299191,0.06265728333600264
2026-01-03,0,vi,desktop,7692,196.0,327.0,673.0,0.02548101924076963,0.04251170046801872,0.0874934997399896
2026-01-03,0,vi,mobile,18506,723.0,1366.0,2561.0,0.03906841024532584,0.07381389819517994,0.13838754998378905
2026-01-03,0,wikidata,desktop,26373,1504.0,2104.0,2895.0,0.05702802108216737,0.0797785614075001,0.1097713570697304
2026-01-03,1,commons,desktop,107144,2389.0,7291.0,10310.0,0.022297095497648026,0.0680486074815202,0.09622564025983722
2026-01-03,1,commons,mobile,55714,1515.0,3380.0,7845.0,0.02719244714075457,0.06066697777937323,0.14080841440212513
2026-01-03,1,en,desktop,2948460,123834.0,164492.0,223544.0,0.04199955230866283,0.05578912381378753,0.075817206270392
2026-01-03,1,en,mobile,7636743,107734.0,186532.0,444347.0,0.014107322977871588,0.02442559609508923,0.05818540705114733
2026-01-03,1,vi,desktop,11603,243.0,473.0,954.0,0.0209428596052745,0.040765319313970524,0.08222011548737396
2026-01-03,1,vi,mobile,27079,578.0,1524.0,3328.0,0.02134495365412312,0.056279773994608366,0.12289966394623139
2026-01-03,1,wikidata,desktop,26932,939.0,1548.0,2389.0,0.034865587405317096,0.057478092974899746,0.08870488638051388
2026-01-03,2,commons,desktop,100634,2240.0,6490.0,9338.0,0.022258878708985033,0.06449112625951468,0.09279170061808137
2026-01-03,2,commons,mobile,45346,1485.0,2825.0,6308.0,0.032748202708066866,0.062298769461474,0.13910819035857627
2026-01-03,2,en,desktop,2858006,131670.0,170694.0,229801.0,0.04607058207715449,0.059724857120663846,0.08040605932947656
2026-01-03,2,en,mobile,7773172,107573.0,188823.0,478298.0,0.013839009351652066,0.024291627664999565,0.06153189457276901
2026-01-03,2,vi,desktop,16652,336.0,647.0,1434.0,0.020177756425654576,0.03885419168868604,0.08611578188806149
2026-01-03,2,vi,mobile,34511,580.0,1698.0,3826.0,0.01680623569296746,0.049201703804584045,0.11086320303671293
2026-01-03,2,wikidata,desktop,27679,720.0,1326.0,2114.0,0.02601250045160591,0.04790635499837422,0.07637559160374291
2026-01-03,3,commons,desktop,95175,2712.0,6934.0,9091.0,0.028494877856579986,0.07285526661413186,0.09551878119254006
2026-01-03,3,commons,mobile,46024,1328.0,2579.0,5881.0,0.028854510690074744,0.05603598122718582,0.12778115765687467
2026-01-03,3,en,desktop,2778044,139585.0,176695.0,234502.0,0.050245784444018886,0.06360410418265514,0.084412629893551
2026-01-03,3,en,mobile,7984139,107184.0,202805.0,496086.0,0.013424615979255872,0.02540098562913296,0.06213393829942089
2026-01-03,3,vi,desktop,23188,552.0,1047.0,2135.0,0.023805416594790407,0.0451526651716405,0.09207348628601
2026-01-03,3,vi,mobile,41472,609.0,1941.0,4261.0,0.01468460648148148,0.046802662037037035,0.10274402006172839
2026-01-03,3,wikidata,desktop,23901,972.0,1438.0,2280.0,0.04066775448725995,0.0601648466591356,0.09539349817999247
2026-01-03,4,commons,desktop,94393,2938.0,7108.0,9459.0,0.031125189367855667,0.07530219401862426,0.10020870191645567
2026-01-03,4,commons,mobile,45602,1197.0,2561.0,5935.0,0.02624884873470462,0.05615981755186176,0.13014780053506425
2026-01-03,4,en,desktop,2718840,147236.0,182362.0,232910.0,0.05415397743155169,0.06707345779817864,0.08566521016315781
2026-01-03,4,en,mobile,7818840,101627.0,182776.0,460064.0,0.01299770809992275,0.023376357618265627,0.058840441804666674
2026-01-03,4,vi,desktop,25102,622.0,1413.0,2548.0,0.024778902079515577,0.05629033543143973,0.1015058561070831
2026-01-03,4,vi,mobile,46701,633.0,2045.0,4668.0,0.01355431361212822,0.04378921222243635,0.09995503308280336
2026-01-03,4,wikidata,desktop,25697,1221.0,2307.0,3098.0,0.047515274156516324,0.08977701677238588,0.12055882009573102
2026-01-03,5,commons,desktop,97204,2966.0,6846.0,9139.0,0.03051314760709436,0.07042920044442616,0.09401876465989054
2026-01-03,5,commons,mobile,44783,1215.0,2729.0,6309.0,0.027130830895652366,0.06093830248085211,0.14087935153964673
2026-01-03,5,en,desktop,2611158,154448.0,189038.0,237626.0,0.05914923570308652,0.07239623186341079,0.09100406792695041
2026-01-03,5,en,mobile,7348899,94962.0,174648.0,427083.0,0.012921935653218258,0.02376519258190921,0.05811523603739825
2026-01-03,5,vi,desktop,22365,544.0,1004.0,1985.0,0.024323720098367984,0.04489157165213503,0.08875475072658172
2026-01-03,5,vi,mobile,48155,692.0,2256.0,5033.0,0.01437026269338594,0.046848717682483644,0.1045166649361437
2026-01-03,5,wikidata,desktop,27757,3127.0,4263.0,4990.0,0.11265626688763195,0.1535828799942357,0.1797744713045358
2026-01-03,6,commons,desktop,102294,2874.0,7132.0,9350.0,0.028095489471523256,0.06972060922439244,0.0914032103544685
2026-01-03,6,commons,mobile,49186,1116.0,2582.0,6350.0,0.022689383157809134,0.05249461228804945,0.12910177692839425
2026-01-03,6,en,desktop,2473120,159371.0,191953.0,240244.0,0.064441272562593,0.07761572426732224,0.09714207155334152
2026-01-03,6,en,mobile,6586779,86290.0,168611.0,389469.0,0.013100485077759554,0.025598399460495032,0.05912890048383284
2026-01-03,6,vi,desktop,19280,539.0,884.0,1812.0,0.02795643153526971,0.045850622406639,0.09398340248962656
2026-01-03,6,vi,mobile,55747,1324.0,3693.0,6843.0,0.023750156959118876,0.0662457172583278,0.12275100005381455
2026-01-03,6,wikidata,desktop,22892,659.0,1187.0,1955.0,0.0287873492923292,0.05185217543246549,0.08540101345448191
2026-01-03,7,commons,desktop,103277,2924.0,7435.0,10192.0,0.028312208913891766,0.0719908595331003,0.09868605788316856
2026-01-03,7,commons,mobile,49356,1153.0,2760.0,6621.0,0.02336088824053813,0.05592025285679553,0.13414782397276928
2026-01-03,7,en,desktop,2285096,154131.0,186936.0,229889.0,0.06745055787590543,0.08180662869306148,0.10060365078753802
2026-01-03,7,en,mobile,5833340,80343.0,161341.0,352489.0,0.013773069973634316,0.027658425533227962,0.06042661665529525
